!!SBtab	SBtabVersion='1.0' Document='Nair_2016_optimized' TableName='Reaction' TableTitle='Reaction' TableType = 'Reaction'				
!ID	!Name	!KineticLaw	!IsReversible	!Location	!ReactionFormula
R93	ReactionFlux93	kf_R93*Substrate*pCaMKII_psd-kr_R93*pCaMKII_psd_Substrate	1	Spine	Substrate + pCaMKII_psd <=> pCaMKII_psd_Substrate
R94	ReactionFlux94	kf_R94*pCaMKII_psd_Substrate	0	Spine	pCaMKII_psd_Substrate <=> pCaMKII_psd + pSubstrate
R95	ReactionFlux95	kf_R95*pCaMKII	0	Spine	pCaMKII <=> CaMKII
R96	ReactionFlux96	kf_R96*Substrate*pCaMKII_CaM_psd-kr_R96*pCaMKII_CaM_psd_Substrate	1	Spine	Substrate + pCaMKII_CaM_psd <=> pCaMKII_CaM_psd_Substrate
R97	ReactionFlux97	kf_R97*pCaMKII_CaM_psd_Substrate	0	Spine	pCaMKII_CaM_psd_Substrate <=> pCaMKII_CaM_psd + pSubstrate
R98	ReactionFlux98	kf_R98*Substrate*pCaMKII_CaM_Ca2_psd-kr_R98*pCaMKII_CaM_Ca2_psd_Substrate	1	Spine	Substrate + pCaMKII_CaM_Ca2_psd <=> pCaMKII_CaM_Ca2_psd_Substrate
R99	ReactionFlux99	kf_R99*pCaMKII_CaM_Ca2_psd_Substrate	0	Spine	pCaMKII_CaM_Ca2_psd_Substrate <=> pCaMKII_CaM_Ca2_psd + pSubstrate
R100	ReactionFlux100	kf_R100*Substrate*pCaMKII_CaM_Ca4_psd-kr_R100*pCaMKII_CaM_Ca4_psd_Substrate	1	Spine	Substrate + pCaMKII_CaM_Ca4_psd <=> pCaMKII_CaM_Ca4_psd_Substrate
R101	ReactionFlux101	kf_R101*pCaMKII_CaM_Ca4_psd_Substrate	0	Spine	pCaMKII_CaM_Ca4_psd_Substrate <=> pCaMKII_CaM_Ca4_psd + pSubstrate
R102	ReactionFlux102	kf_R102*Substrate*CaMKII_CaM_psd-kr_R102*CaMKII_CaM_psd_Substrate	1	Spine	Substrate + CaMKII_CaM_psd <=> CaMKII_CaM_psd_Substrate
R103	ReactionFlux103	kf_R103*CaMKII_CaM_psd_Substrate	0	Spine	CaMKII_CaM_psd_Substrate <=> CaMKII_CaM_psd + pSubstrate
R104	ReactionFlux104	kf_R104*Substrate*CaMKII_CaM_Ca2_psd-kr_R104*CaMKII_CaM_Ca2_psd_Substrate	1	Spine	Substrate + CaMKII_CaM_Ca2_psd <=> CaMKII_CaM_Ca2_psd_Substrate
R105	ReactionFlux105	kf_R105*CaMKII_CaM_Ca2_psd_Substrate	0	Spine	CaMKII_CaM_Ca2_psd_Substrate <=> CaMKII_CaM_Ca2_psd + pSubstrate
R106	ReactionFlux106	kf_R106*Substrate*CaMKII_CaM_Ca4_psd-kr_R106*CaMKII_CaM_Ca4_psd_Substrate	1	Spine	Substrate + CaMKII_CaM_Ca4_psd <=> CaMKII_CaM_Ca4_psd_Substrate
R107	ReactionFlux107	kf_R107*CaMKII_CaM_Ca4_psd_Substrate	0	Spine	CaMKII_CaM_Ca4_psd_Substrate <=> CaMKII_CaM_Ca4_psd + pSubstrate
R108	ReactionFlux108	kf_R108*pCaMKII_CaM_Ca4-kr_R108*pCaMKII_CaM_Ca4_psd	1	Spine	pCaMKII_CaM_Ca4 <=> pCaMKII_CaM_Ca4_psd
R109	ReactionFlux109	kf_R109*pCaMKII_CaM_Ca2-kr_R109*pCaMKII_CaM_Ca2_psd	1	Spine	pCaMKII_CaM_Ca2 <=> pCaMKII_CaM_Ca2_psd
R110	ReactionFlux110	kf_R110*pCaMKII_CaM-kr_R110*pCaMKII_CaM_psd	1	Spine	pCaMKII_CaM <=> pCaMKII_CaM_psd
R111	ReactionFlux111	kf_R111*pCaMKII-kr_R111*pCaMKII_psd	1	Spine	pCaMKII <=> pCaMKII_psd
R112	ReactionFlux112	kf_R112*CaM_Ca4*pCaMKII_psd-kr_R112*pCaMKII_CaM_Ca4_psd	1	Spine	CaM_Ca4 + pCaMKII_psd <=> pCaMKII_CaM_Ca4_psd
R113	ReactionFlux113	kf_R113*pCaMKII_psd*CaM_Ca2-kr_R113*pCaMKII_CaM_Ca2_psd	1	Spine	pCaMKII_psd + CaM_Ca2 <=> pCaMKII_CaM_Ca2_psd
R114	ReactionFlux114	kf_R114*CaM*pCaMKII_psd-kr_R114*pCaMKII_CaM_psd	1	Spine	CaM + pCaMKII_psd <=> pCaMKII_CaM_psd
R115	ReactionFlux115	kf_R115*pCaMKII_CaM_psd*Ca-kr_R115*pCaMKII_CaM_Ca2_psd	1	Spine	pCaMKII_CaM_psd + Ca <=> pCaMKII_CaM_Ca2_psd
R116	ReactionFlux116	kf_R116*pCaMKII_CaM_Ca2_psd*Ca-kr_R116*pCaMKII_CaM_Ca4_psd	1	Spine	pCaMKII_CaM_Ca2_psd + Ca <=> pCaMKII_CaM_Ca4_psd
R117	ReactionFlux117	kf_R117*pCaMKII_psd*PP1-kr_R117*PP1_pCaMKII_psd	1	Spine	pCaMKII_psd + PP1 <=> PP1_pCaMKII_psd
R118	ReactionFlux118	kf_R118*PP1_pCaMKII_psd	0	Spine	PP1_pCaMKII_psd <=> PP1 + CaMKII_psd
R119	ReactionFlux119	kf_R119*CaMKII_psd	0	Spine	CaMKII_psd <=> CaMKII
R120	ReactionFlux120	kf_R120*CaM_Ca4*CaMKII_psd-kr_R120*CaMKII_CaM_Ca4_psd	1	Spine	CaM_Ca4 + CaMKII_psd <=> CaMKII_CaM_Ca4_psd
R121	ReactionFlux121	kf_R121*CaM_Ca2*CaMKII_psd-kr_R121*CaMKII_CaM_Ca2_psd	1	Spine	CaM_Ca2 + CaMKII_psd <=> CaMKII_CaM_Ca2_psd
R122	ReactionFlux122	kf_R122*CaM*CaMKII_psd-kr_R122*CaMKII_CaM_psd	1	Spine	CaM + CaMKII_psd <=> CaMKII_CaM_psd
R123	ReactionFlux123	kf_R123*CaMKII_CaM_Ca2_psd*Ca-kr_R123*CaMKII_CaM_Ca4_psd	1	Spine	CaMKII_CaM_Ca2_psd + Ca <=> CaMKII_CaM_Ca4_psd
R124	ReactionFlux124	kf_R124*CaMKII_CaM_psd*Ca-kr_R124*CaMKII_CaM_Ca2_psd	1	Spine	CaMKII_CaM_psd + Ca <=> CaMKII_CaM_Ca2_psd
R125	ReactionFlux125	kf_R125*CaMKII_CaM-kr_R125*CaMKII_CaM_psd	1	Spine	CaMKII_CaM <=> CaMKII_CaM_psd
